N_Samples	Iteration	N_Loops
2	94	5499
3	94	5725
4	94	6041
5	94	6576
6	94	7897
7	94	8551
8	94	8664
9	94	9332
10	94	11584
11	94	12414
12	94	13369
13	94	14040
14	94	14632
15	94	15305
16	94	15739
17	94	16474
1	95	3579
2	95	3946
3	95	6107
4	95	6416
5	95	6961
6	95	8427
7	95	9158
8	95	9717
9	95	10338
10	95	10436
11	95	11603
12	95	12392
13	95	12918
14	95	13593
15	95	15150
16	95	15739
17	95	16474
1	96	4601
2	96	4849
3	96	7302
4	96	8515
5	96	9309
6	96	10229
7	96	11142
8	96	11639
9	96	12147
10	96	12939
11	96	13306
12	96	14156
13	96	14242
14	96	14489
15	96	15928
16	96	16330
17	96	16474
1	97	4758
2	97	7229
3	97	7419
4	97	10061
5	97	10788
6	97	11333
7	97	11738
8	97	12040
9	97	12695
10	97	13594
11	97	14207
12	97	14883
13	97	14961
14	97	15546
15	97	15957
16	97	16330
17	97	16474
1	98	4416
2	98	5501
3	98	6865
4	98	7047
5	98	8365
6	98	9415
7	98	10467
8	98	11059
9	98	12103
10	98	12849
11	98	13117
12	98	13557
13	98	15106
14	98	15530
15	98	15683
16	98	16403
17	98	16474
1	99	5754
2	99	8903
3	99	9027
4	99	10079
5	99	10578
6	99	11503
7	99	12049
8	99	12775
9	99	13064
10	99	13585
11	99	14416
12	99	14961
13	99	15113
14	99	15505
15	99	16039
16	99	16113
17	99	16474
1	100	4416
2	100	6120
3	100	7596
4	100	8226
5	100	8471
6	100	8909
7	100	11219
8	100	11759
9	100	12751
10	100	13398
11	100	13477
12	100	13950
13	100	14665
14	100	15433
15	100	15808
16	100	15880
17	100	16474
