Sample1	Sample2	Window	N_Int	Total	Frac
PCa3023	PCa33173	3	5344	7471	0.715299156739392
PCa3023	PCa33173	4	5247	6738	0.778717720391808
PCa3023	PCa33173	5	4942	6045	0.817535153019024
PCa3023	PCa33173	6	4531	5428	0.834745762711864
PCa3023	PCa33173	7	4164	4900	0.849795918367347
PCa3023	PCa33173	8	3797	4425	0.858079096045198
PCa3023	PCa33173	9	3509	4119	0.851905802379218
PCa3023	PCa33173	10	3242	3799	0.853382469070808
PCa3023	PCa33173	11	3007	3503	0.858407079646018
PCa3023	PCa33173	12	2849	3291	0.865694317836524
PCa3023	PCa33173	13	2657	3110	0.854340836012862
PCa3023	PCa33173	14	2517	2904	0.866735537190083
PCa3023	PCa33173	15	2376	2743	0.866204885162231
PCa3023	PCa33173	16	2281	2629	0.867630277672119
PCa3023	PCa33173	17	2174	2496	0.87099358974359
PCa3023	PCa33173	18	2062	2391	0.862400669176077
PCa3023	PCa33173	19	1977	2281	0.866725120561157
PCa3023	PCa33173	20	1885	2191	0.860337745321771
PCa3023	PCa33173	21	1793	2093	0.856665074056378
PCa3023	PCa33173	22	1736	2018	0.860257680872151
PCa3023	PCa33173	23	1667	1943	0.857951621204323
PCa3023	PCa33173	24	1609	1876	0.857675906183369
PCa3023	PCa33173	25	1560	1808	0.86283185840708
PCa3023	PCa33173	26	1518	1757	0.863972680705748
PCa3023	PCa33173	27	1476	1720	0.858139534883721
PCa3023	PCa33173	28	1445	1678	0.861144219308701
PCa3023	PCa33173	29	1419	1648	0.861043689320388
PCa3023	PCa33173	30	1364	1617	0.843537414965986
PCa3023	PCa40507	3	4731	7471	0.633248561102931
PCa3023	PCa40507	4	4940	6738	0.733155238943307
PCa3023	PCa40507	5	4695	6045	0.776674937965261
PCa3023	PCa40507	6	4357	5428	0.802689756816507
PCa3023	PCa40507	7	4013	4900	0.818979591836735
PCa3023	PCa40507	8	3682	4425	0.832090395480226
PCa3023	PCa40507	9	3443	4119	0.835882495751396
